,X4E.BP1,X4E.BP1.pT37.T46,X53BP1,ACC1,ACC.pS79,AMPK.pT172,AR,ASNS,ATM,Acetyl.a.Tubulin.Lys40,Akt,Akt.pS473,Akt.pT308,Annexin.1,B.Raf,BRD4,Bcl.2,Bim,Caspase.7.cleavedD198,Caveolin.1,Chk2.pT68,Claudin.7,Collagen.VI,Cyclin.B1,Cyclin.E1,DUSP4,E.Cadherin,EGFR.pY1068,EPPK1,ER.alpha,ER.alpha.pS118,FASN,Fibronectin,FoxM1,GAB2,GAPDH,GATA3,GSK3.alpha.beta.pS21.S9,GSK3.pS9,HER2,HER2.pY1248,HER3,HSP70,IGFBP2,INPP4B,Lck,MAPK.pT202.Y204,MSH6,MYH11,NDRG1.pT346,NF.kB.p65.pS536,PAI.1,PARP1,PDCD4,PR,PREX1,RBM15,Rab25,Rb.pS807.S811,Rictor,S6,S6.pS235.S236,S6.pS240.S244,SCD,SLC1A5,STAT5.alpha,Src.pY527,Syk,TFRC,TSC1,Tuberin,VEGFR2,YAP.pS127,beta.Catenin,c.Kit,eIF4G,p16.INK4a,p38.pT180.Y182,p53,p62.LCK.ligand,p70S6K
540,-0.252777521,0.122755959,0.2241437335,-0.776418222,-1.1898236825,-1.2036855435,0.3061393255,-0.0386747485,-0.200862682,-0.772883338,-0.8763359455,1.3690272215,1.2597580495,-0.3694626565,-0.1373027345,0.346081504,-0.25243164,-0.3290126105,1.1315626845,-0.16066978,-0.2424014135,0.2422051215,0.1421264495,1.4971893855,0.0852779170000004,0.172785282,-0.199416325,-0.0915692495,1.04177353,1.516228363,-0.015404011,0.204901749,1.0037187215,-0.492959243,-0.1047341765,1.3361103295,1.310685097,0.802825323,0.8445026295,-0.5112524255,-0.447303869,-0.2822700875,-0.4336296435,1.8675152055,1.385330228,-0.0430742049999999,0.4549765045,0.0082439195000001,-0.631602818,0.2281727885,-0.559285613,0.1575784485,1.0684262905,2.6393116675,4.7624770975,1.2863150315,0.190305683,-0.139418631,0.239255649,-0.5291586955,0.407499758,2.1057977,1.254251043,-0.8066911015,-0.4094738045,-0.4667185455,0.287485284,-0.450793297,-0.0472503930000001,0.8302620265,-0.4179136815,1.3419049975,1.00866063,0.103739626,-0.2921693085,0.6637128515,0.312462695,1.2579257195,0.0690625615,0.162258135,-0.249609493
541,0.1006176195,0.8532059365,-0.095070855,-0.8675526195,-0.45778775,0.0385655650000001,-1.199181641,0.378107109,-0.6582175485,1.6846666785,-0.110642553,0.138774548,-0.0373377849999998,1.865452912,-0.159806363,-0.0620127055000002,-1.4885251005,-0.571644712,-0.55002282,-1.0243325585,0.187435589,-1.484103163,-0.253767986,0.568929431,-0.3980864865,0.2987088105,0.2919336315,4.253421361,-1.3816637025,-3.2775673365,-0.5226176955,-2.4191053405,-1.664355444,0.4009479315,0.555255215,0.9817379,-1.1371788215,0.7660023965,0.711095869,-0.299837148,1.3018891165,0.0593292779999999,-0.27379135,-0.479570613,-0.2124279365,0.0198900635000001,1.007522563,0.43171001,-0.5397812705,3.356648586,0.5753423555,0.649303686,-0.32533158,0.323464334,-0.933586327,-0.732336897,0.7273235975,-0.3363015315,0.3007752565,0.289823599,0.1333548365,1.2178145205,0.4201157405,-0.373494607,-0.46691625,0.956432755,0.6717128015,-0.1235481885,0.2196412735,0.237848057,0.103374399,0.357088816,0.6726327965,1.1075608175,0.0671276230000002,0.897486114,-0.2535065285,0.725403177,-0.167422685,0.1329356325,-0.4365990625
542,0.0410771289999999,0.34231065,0.0647391895,-0.59125408,-0.3423740185,0.1025814345,0.4217536065,0.4174016305,-0.319787561,-0.934749468,0.4767807825,1.4259634785,1.7459771755,0.2233013645,0.3375789705,-0.39996105,-0.548528964,-0.6117526625,-0.5892348295,-0.985381169,0.1961705655,-0.3222489945,-0.9232020245,0.3876630385,-0.047723268,1.276318721,0.060178222,2.4897307685,0.573790519,-2.388146808,-0.474041882,-0.150201192,0.2128703725,0.0,-0.3829097595,0.5492609235,-0.232559803,1.231034525,1.1901873495,3.9025574545,3.12976729,-0.4311366735,-1.7309885125,-0.6014154075,0.331914582,-0.640079709,0.9181821325,0.2072307325,-1.558229385,-0.8437416505,1.057752954,0.1140396285,-0.6509235705,0.3794120565,-0.9345240325,-0.4902262385,0.235684176,-0.0224302689999999,0.782377093,0.0482024525,0.0750836110000001,0.869800304,0.193185474,0.1950448785,0.1742107085,0.0849648934999999,0.0471104320000001,-0.325351159,0.0402145919999998,0.2205702175,0.5081681235,0.0662891404999998,0.158802321,0.549716658,-0.3743044765,0.6475372895,1.027692665,0.5356087485,0.0092029765,-0.294333599,-0.483466621
543,-0.408156108,-0.661910399,0.4198659455,0.464081065,0.2715687325,0.3292792055,0.8207692755,0.0072568544999999,0.429564888,0.898334981,0.2888807655,0.6609850185,0.0492635254999999,-0.2107836735,0.1481457675,0.539270162,0.726791387,0.1069656955,-0.6829305685,0.0371275240000001,-0.6723117585,-0.4050123825,-0.0993356295,-0.3358369765,-0.250842622,-0.0688416009999998,-0.281029598,-0.1921892155,2.675327868,0.670937981,0.689215002,3.096566063,0.923206022500001,-0.976462388,-0.0224743355,0.7907412745,0.209193829,0.480738799,0.6864958905,0.5524849085,0.100877418,0.5124108695,-1.3159798885,0.3309086745,1.218353309,-0.521274023,0.6639262095,0.1908323495,-1.714590662,-0.0902060265000001,0.814682984,0.2687173395,-0.0138840665,1.0246414245,4.3425009085,0.9813623165,0.610983161,0.716588225,0.596883836,0.2945900805,0.228997132,0.799292531,0.212751858,-3.2166764105,-0.0004868685,1.6899041655,-0.120289004,0.142039858,0.521057039,0.6639091185,0.6633954895,1.8282879765,0.677394156,-0.0758969390000001,-0.5264113085,0.9834903625,0.0107713819999998,0.1784539375,-0.4226656405,-0.0022238650000002,0.250399316
544,0.0541229540000001,0.819397287,0.3801523205,0.379950279,0.5249516405,-0.4181421795,1.4678680935,-0.3194979745,0.0673151110000001,1.764507844,0.1347363755,-0.0308081334999999,0.3255755815,-0.2433327055,0.2788065385,0.29753097,0.0822458830000001,0.0649205265000001,-0.3230948655,-0.703949889,-0.1765698185,0.2570245815,-0.7138868015,-0.1353828355,-0.310843384,-0.0691159009999995,0.317727307,0.0546312795000001,0.883953714,2.657198948,0.787241657,0.350406866,0.1302137085,-0.12360128,0.4771384635,0.1405615905,1.048085186,0.982090438,0.7910199115,-0.0939497634999998,-0.107003056,-0.3655453405,-1.6340154445,0.8179895595,0.0,-0.835978295,1.0767027515,0.2746375405,0.49645699,0.8967872255,0.0965460010000001,-0.0732266974999999,-0.5201276735,1.8720530265,5.0391103385,0.9389730915,0.0801235070000001,0.388793747,0.925318547,0.3393192505,0.0378496860000002,0.0973729710000004,-0.0258000229999998,0.1302718185,0.1425945705,0.2441924705,0.207333277,-0.533377288,-0.15571008,-0.1196682775,0.2118853185,1.1502471235,0.617890135,0.501758954,-0.4043731335,0.4582618195,0.38080971,-0.0393748184999999,-0.1882260485,-0.864295331,-0.0417916949999998
545,0.2332495245,-0.1520280325,0.0936986399999996,0.7864591805,0.445563285,1.432950031,-0.382196443,0.282725597,-0.3146093635,0.0189089514999998,0.367507945,-0.498520285000001,0.122197616,-1.056387476,1.424215498,0.319628080499999,1.4520221875,0.771851063999999,-0.32267038,-2.2734324575,-0.161538111,1.709340848,-1.443241263,-0.0194574420000004,0.0609967364999999,0.9432695895,1.1546249805,0.0466005719999996,0.6999732455,2.6159185705,1.4471936785,0.3208133845,-1.940063422,-0.2161101205,2.064023763,-0.525214236,2.1627132415,0.3723696495,0.403083314,1.260801658,0.554663516499999,-0.461775326,-1.804277261,-1.216910328,1.2343638675,-0.9931940715,-1.470562863,0.266051631999999,-1.7149084145,-0.385277723,0.0347084184999995,-0.145791468,-0.0680096490000004,-0.123306833,-1.052700978,1.349580595,0.4447330945,0.1213828015,0.1598551245,0.648188459,0.2392762715,-0.6353015615,-0.446251755500001,0.347314477999999,-0.746842196,0.149745223999999,-0.490540884500001,-1.4727048065,0.4181637535,0.762887530999999,0.610489726,0.705955899999999,-1.0440643195,1.1426673775,-0.779296771,0.943869919,-0.516826898500001,-0.811091799000001,-0.114678847,1.5706772355,1.4871274645
546,-0.283033194,-0.0296998439999999,0.7061088305,0.876717238,0.9436426875,-0.2260144065,1.3374600155,-0.3913894425,0.481127586,0.981501496,-0.0475322075000001,0.1680034455,0.4242836265,-0.8972758335,1.6914033285,0.330812698,2.073742125,0.4529683885,-0.6914117895,-0.625545067,-0.1778711935,0.2315666005,-0.4649835555,-0.2774378465,-0.127533978,1.049686618,1.497875182,0.0761078804999999,-0.324853713,3.189685219,2.01539999,0.550444837,-0.1652428985,-0.213268999,0.8095898155,0.0165652445,1.4348414,1.387141478,1.3049575845,0.3724920945,0.0234477129999998,-0.0220485375000001,-0.6702576635,0.7248201695,2.019741416,-0.784798151,0.2887172195,0.2075230315,-1.945488631,0.0414496285,0.470040835,-0.4554240355,-0.2395695705,1.7332038435,6.2805990985,1.6063524765,0.343615954,-0.213358029,0.24501187,0.4716468355,0.0260493780000001,0.0347562620000001,-0.29529061,0.4339496665,-0.1350656995,0.7659699955,-0.488913058,-0.150414879,0.182574213,0.0454879235000001,0.4418184245,2.3340789235,0.759669252,1.592407334,-0.6787199715,0.3973094785,-0.3463835,0.5852968915,-0.0502409374999999,0.0933264569999999,0.177116812
547,0.753113954,1.046340614,-0.0932814144999999,-0.327640707,0.1409975495,0.4870213235,-1.5144563155,0.7773415055,-0.107519807,1.68067358,0.2687423945,0.0369876535000002,-0.3780830645,-0.6944022735,1.0973156245,0.869652711,0.702143629,-0.2115089625,-0.0118197805,0.0668053780000002,-0.2444153225,-1.8468122695,-0.1184065375,0.2801909865,1.572038028,0.478226419,1.046657941,0.0780051514999998,2.713006933,-3.662483154,-0.170179369,-0.419487445,-1.3584731305,0.578680959,1.0198879525,0.7412375745,-1.404473462,0.0321668510000002,0.2279903715,-0.2170016115,-0.462540044,-0.2252383195,-0.7769873735,1.0421744195,-0.596249041,-0.190661204,0.7754343685,1.8960668415,-1.817279385,0.2907824435,0.028712372,-0.8963591275,0.8315316265,1.1983987005,-0.7505074635,-0.8829302925,1.730774269,0.975534458,1.141909239,0.1822419475,0.670454902,0.902788112,0.685977815,-0.0014480965000007,0.0100976015000001,0.9621764345,-0.445701909,-0.273498621,0.338263605,-0.1172473595,0.0383183335,-0.9988133735,0.210832319,1.382377908,-0.5513734575,1.5272308685,2.572011401,-0.3807972585,0.5472626125,-1.193269322,-0.187083324
548,0.7187578195,0.8963078495,-0.0578993820000001,0.7107031015,0.929851154,-0.230095534,-1.213021104,0.560825197,0.2637200685,1.0341999265,-0.169232539,1.969444933,2.029766039,1.274715706,0.129059675,-0.2787615215,-1.3770060785,-0.640588224,1.663347297,-1.0773108935,0.026773107,0.181489794,-0.577461103,0.811295642,0.8630267675,0.0526589525000001,0.4041951915,-0.269677978,0.924980131500001,-3.2737076885,-0.5067362345,-0.8434940955,-0.0977214049999999,0.3407615085,0.354608075,0.841551853,-1.4886024265,0.8545423435,1.141034599,-0.303941038,-0.2776597145,-0.382729829,-0.234859704,-0.954522617,-0.3879323595,0.1222988875,0.463966424,0.911330914,-0.4472960175,1.897841962,0.4705272065,0.551068716,0.721493133,-0.184844902,-1.029707603,-0.602412684,0.4838381545,1.0312075725,0.3778721175,-0.454057914,0.0396250135,0.8151627435,0.3870153605,-0.410841625000001,-0.101732163,0.386762994,0.1298746285,1.3586615895,-0.2046415085,0.447364441,-0.0364452300000001,0.0734375459999999,0.9074670115,0.6976279225,-0.564887672,1.107983556,1.1266383845,0.44432002,0.0747084470000001,0.2798674005,-0.1214837085
549,0.1495319075,1.1454466575,0.1044588445,-0.0302757140000001,-0.0687152135,0.16513912,-0.401537761,-0.104403585,0.213060344,-0.1330331395,0.2174358455,0.4020559895,0.370310638,-0.394951734,-0.2499088365,0.3183927925,-0.0605322560000001,0.336971859,1.1269011775,-0.0393008080000001,-0.617304355,-0.145321171,-0.658011388,0.3962816435,0.0936402780000001,-0.9981322485,0.701740025,-0.167004271,1.0594814535,-0.0911428625000001,-0.26131551,0.521267072,-0.548193221,0.130277947,2.1121539425,-0.125821913,0.0651579029999998,0.0645914204999998,0.0825171104999998,0.1662104275,0.1362592355,-0.284108797,0.1003057605,-0.6508321815,0.209796309,0.950635938,-0.146616224,0.5383850975,1.824340544,-0.446551963,-0.0305651910000002,-0.337056151,1.1948702485,0.4010047755,-0.2461819555,0.6161184225,1.352179301,-0.662186514,0.4435517005,-0.2809598165,0.4106680035,1.195117704,1.4524620945,-0.3414643365,0.16796040434,0.714369136,0.347377235,0.93036292,1.26235831,-0.342930944,-0.179953974,0.788050159,-0.743663154,0.764159354,-0.742538446,-0.0023605610000001,-0.5123866025,-0.0430338565000004,-0.7914443065,0.0919534039999998,-0.1168773925
